y,time
184.0,3119
187.0,3120
204.0,3121
167.0,3122
156.0,3123
189.0,3124
217.0,3125
219.0,3126
173.0,3127
193.0,3128
217.0,3129
190.0,3130
189.0,3131
206.0,3132
185.0,3133
205.0,3134
210.0,3135
186.0,3136
209.0,3137
187.0,3138
206.0,3139
181.0,3140
197.0,3141
192.0,3142
213.0,3143
213.0,3144
167.0,3145
198.0,3146
221.0,3147
186.0,3148
169.0,3149
183.0,3150
205.0,3151
193.0,3152
203.0,3153
205.0,3154
186.0,3155
183.0,3156
175.0,3157
188.0,3158
220.0,3159
187.0,3160
198.0,3161
184.0,3162
190.0,3163
179.0,3164
186.0,3165
191.0,3166
188.0,3167
180.0,3168
210.0,3169
174.0,3170
232.0,3171
238.0,3172
198.0,3173
190.0,3174
230.0,3175
204.0,3176
211.0,3177
200.0,3178
214.0,3179
230.0,3180
224.0,3181
196.0,3182
240.0,3183
212.0,3184
257.0,3185
217.0,3186
191.0,3187
251.0,3188
179.0,3189
184.0,3190
208.0,3191
226.0,3192
231.0,3193
214.0,3194
174.0,3195
177.0,3196
191.0,3197
230.0,3198
216.0,3199
177.0,3200
211.0,3201
185.0,3202
199.0,3203
251.0,3204
213.0,3205
212.0,3206
227.0,3207
228.0,3208
207.0,3209
197.0,3210
223.0,3211
262.0,3212
227.0,3213
232.0,3214
225.0,3215
241.0,3216
204.0,3217
234.0,3218
216.0,3219
338.0,3220
186.0,3221
209.0,3222
206.0,3223
214.0,3224
201.0,3225
238.0,3226
189.0,3227
224.0,3228
242.0,3229
205.0,3230
209.0,3231
230.0,3232
177.0,3233
208.0,3234
186.0,3235
204.0,3236
231.0,3237
201.0,3238
209.0,3239
211.0,3240
233.0,3241
207.0,3242
223.0,3243
219.0,3244
220.0,3245
225.0,3246
239.0,3247
214.0,3248
249.0,3249
229.0,3250
211.0,3251
230.0,3252
231.0,3253
247.0,3254
249.0,3255
291.0,3256
207.0,3257
201.0,3258
212.0,3259
234.0,3260
233.0,3261
244.0,3262
239.0,3263
245.0,3264
256.0,3265
217.0,3266
217.0,3267
211.0,3268
230.0,3269
220.0,3270
203.0,3271
236.0,3272
281.0,3273
258.0,3274
229.0,3275
187.0,3276
208.0,3277
198.0,3278
257.0,3279
258.0,3280
224.0,3281
188.0,3282
216.0,3283
213.0,3284
217.0,3285
262.0,3286
230.0,3287
242.0,3288
220.0,3289
212.0,3290
238.0,3291
244.0,3292
212.0,3293
228.0,3294
275.0,3295
283.0,3296
253.0,3297
247.0,3298
243.0,3299
245.0,3300
220.0,3301
229.0,3302
229.0,3303
217.0,3304
244.0,3305
236.0,3306
244.0,3307
245.0,3308
267.0,3309
223.0,3310
259.0,3311
226.0,3312
274.0,3313
211.0,3314
228.0,3315
259.0,3316
217.0,3317
204.0,3318
246.0,3319
223.0,3320
229.0,3321
211.0,3322
219.0,3323
219.0,3324
253.0,3325
298.0,3326
233.0,3327
252.0,3328
215.0,3329
289.0,3330
263.0,3331
286.0,3332
273.0,3333
222.0,3334
237.0,3335
207.0,3336
261.0,3337
260.0,3338
271.0,3339
243.0,3340
233.0,3341
243.0,3342
247.0,3343
275.0,3344
275.0,3345
228.0,3346
233.0,3347
248.0,3348
245.0,3349
251.0,3350
216.0,3351
203.0,3352
235.0,3353
258.0,3354
240.0,3355
224.0,3356
235.0,3357
238.0,3358
248.0,3359
238.0,3360
237.0,3361
236.0,3362
228.0,3363
250.0,3364
196.0,3365
225.0,3366
258.0,3367
255.0,3368
231.0,3369
242.0,3370
273.0,3371
237.0,3372
194.0,3373
209.0,3374
248.0,3375
253.0,3376
293.0,3377
205.0,3378
231.0,3379
261.0,3380
223.0,3381
221.0,3382
244.0,3383
251.0,3384
206.0,3385
247.0,3386
246.0,3387
268.0,3388
236.0,3389
234.0,3390
223.0,3391
219.0,3392
246.0,3393
239.0,3394
243.0,3395
235.0,3396
210.0,3397
244.0,3398
222.0,3399
287.0,3400
251.0,3401
217.0,3402
208.0,3403
188.0,3404
188.0,3405
199.0,3406
245.0,3407
229.0,3408
209.0,3409
296.0,3410
279.0,3411
203.0,3412
205.0,3413
168.0,3414
244.0,3415
205.0,3416
243.0,3417
209.0,3418
186.0,3419
188.0,3420
198.0,3421
202.0,3422
204.0,3423
222.0,3424
249.0,3425
162.0,3426
183.0,3427
211.0,3428
201.0,3429
243.0,3430
207.0,3431
190.0,3432
219.0,3433
166.0,3434
190.0,3435
245.0,3436
218.0,3437
205.0,3438
205.0,3439
203.0,3440
213.0,3441
214.0,3442
168.0,3443
212.0,3444
219.0,3445
213.0,3446
201.0,3447
214.0,3448
223.0,3449
200.0,3450
182.0,3451
178.0,3452
198.0,3453
176.0,3454
210.0,3455
219.0,3456
235.0,3457
233.0,3458
230.0,3459
205.0,3460
218.0,3461
184.0,3462
213.0,3463
199.0,3464
175.0,3465
209.0,3466
211.0,3467
251.0,3468
215.0,3469
175.0,3470
187.0,3471
173.0,3472
176.0,3473
235.0,3474
222.0,3475
215.0,3476
267.0,3477
193.0,3478
180.0,3479
218.0,3480
231.0,3481
196.0,3482
205.0,3483
245.0,3484
245.0,3485
190.0,3486
244.0,3487
188.0,3488
184.0,3489
193.0,3490
201.0,3491
209.0,3492
179.0,3493
189.0,3494
197.0,3495
164.0,3496
158.0,3497
170.0,3498
187.0,3499
203.0,3500
258.0,3501
207.0,3502
186.0,3503
201.0,3504
199.0,3505
165.0,3506
217.0,3507
202.0,3508
178.0,3509
195.0,3510
246.0,3511
207.0,3512
220.0,3513
222.0,3514
201.0,3515
204.0,3516
258.0,3517
196.0,3518
178.0,3519
198.0,3520
175.0,3521
188.0,3522
186.0,3523
143.0,3524
188.0,3525
216.0,3526
217.0,3527
187.0,3528
206.0,3529
225.0,3530
201.0,3531
184.0,3532
246.0,3533
236.0,3534
193.0,3535
221.0,3536
173.0,3537
242.0,3538
260.0,3539
215.0,3540
263.0,3541
197.0,3542
207.0,3543
234.0,3544
179.0,3545
203.0,3546
199.0,3547
255.0,3548
209.0,3549
237.0,3550
174.0,3551
206.0,3552
236.0,3553
228.0,3554
212.0,3555
191.0,3556
182.0,3557
231.0,3558
230.0,3559
235.0,3560
199.0,3561
279.0,3562
230.0,3563
228.0,3564
229.0,3565
184.0,3566
189.0,3567
216.0,3568
208.0,3569
191.0,3570
185.0,3571
217.0,3572
220.0,3573
215.0,3574
217.0,3575
280.0,3576
203.0,3577
190.0,3578
231.0,3579
196.0,3580
192.0,3581
197.0,3582
231.0,3583
244.0,3584
219.0,3585
262.0,3586
244.0,3587
253.0,3588
254.0,3589
211.0,3590
212.0,3591
269.0,3592
192.0,3593
207.0,3594
311.0,3595
259.0,3596
252.0,3597
206.0,3598
202.0,3599
202.0,3600
228.0,3601
231.0,3602
240.0,3603
213.0,3604
234.0,3605
188.0,3606
205.0,3607
223.0,3608
220.0,3609
255.0,3610
220.0,3611
271.0,3612
233.0,3613
209.0,3614
215.0,3615
186.0,3616
219.0,3617
222.0,3618
221.0,3619
209.0,3620
234.0,3621
243.0,3622
243.0,3623
278.0,3624
269.0,3625
293.0,3626
258.0,3627
248.0,3628
219.0,3629
190.0,3630
251.0,3631
203.0,3632
204.0,3633
246.0,3634
223.0,3635
211.0,3636
259.0,3637
219.0,3638
233.0,3639
223.0,3640
250.0,3641
232.0,3642
210.0,3643
216.0,3644
252.0,3645
204.0,3646
251.0,3647
228.0,3648
242.0,3649
204.0,3650
